character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
胧,lóng,long,L,used in 朦朧|朦胧[meng2 long2],General Reference,Top 2500,General 3500,2475.0,40688.0,21.43365870162452,98.36908816122988,2544.0,4652.0,True,True,True,"3500, 7000, corpus"
咙,lóng,long,L,used in 喉嚨|喉咙[hou2 long2],General Reference,Top 3500+,General 3500,2673.0,31569.0,16.629944247728677,98.74284538119583,525.0,740.0,True,True,True,"3500, 7000, corpus"
聋,lóng,long,L,deaf,General Reference,Top 3500+,General 3500,3037.0,19397.0,10.217967898039,99.2212133737056,2502.0,4587.0,True,True,True,"3500, 7000, corpus"
垄,lǒng,long,L,ridge between fields; crop row; mounded soil forming a ridge in a field; grave mound,General Reference,Top 3500+,General 3500,3411.0,11782.0,6.2065318232043865,99.52483304392538,657.0,1042.0,True,True,True,"3500, 7000, corpus"
窿,lóng,long,L,cavity; hole,General Reference,Top 3500+,General 7000,3625.0,9002.0,4.742081095950254,99.64013488623706,2293.0,4148.0,True,True,True,"3500, 7000, corpus"
楼,lóu,lou,L,surname Lou,General Reference,Top 600,HSK3 Expansion,526.0,654626.0,344.84443229477125,78.0734266744727,1625.0,2693.0,True,True,True,"3500, 7000, corpus"
搂,lǒu,lou,L,"to draw towards oneself; to gather; to gather up (one's gown, sleeves etc); to grab (money); to extort",Business & Work,Top 2500,General 3500,1875.0,85409.0,44.99182451944181,96.44702745106574,1337.0,2202.0,True,True,True,"3500, 7000, corpus"
漏,lòu,lou,L,to leak; to divulge; to leave out by mistake; waterclock or hourglass (old),Time,Top 2500,General 3500,2142.0,62997.0,33.18561239742036,97.48105266783269,1868.0,3196.0,True,True,True,"3500, 7000, corpus"
陋,lòu,lou,L,low; humble; plain; ugly; mean; vulgar,General Reference,Top 3500+,General 3500,2640.0,32986.0,17.376392693958568,98.68683377566613,3297.0,6408.0,True,True,True,"3500, 7000, corpus"
娄,lóu,lou,L,surname Lou; one of the 28 lunar mansions in Chinese astronomy,Numbers & Measures,Top 3500+,General 3500,3485.0,10553.0,5.559118174357145,99.56836342036837,773.0,1255.0,True,True,True,"3500, 7000, corpus"
篓,lǒu,lou,L,basket,General Reference,Top 3500+,General 7000,3875.0,6723.0,3.5415475681041495,99.74339657305688,2340.0,4247.0,True,True,True,"3500, 7000, corpus"
路,lù,lu,L,surname Lu,Places & Movement,Top 300,HSK2 Expansion,256.0,1338441.0,705.0650704448738,64.65933488883283,3035.0,5728.0,True,True,True,"3500, 7000, corpus"
露,lù,lu,L,surname Lu,General Reference,Top 600,HSK3 Expansion,563.0,606979.0,319.7449057474771,79.30342579380047,3345.0,6488.0,True,True,True,"3500, 7000, corpus"
陆,lù,lu,L,surname Lu,General Reference,Top 1200,General 3500,750.0,431372.0,227.23850327952152,84.2952285571937,3295.0,6404.0,True,True,True,"3500, 7000, corpus"
鲁,lǔ,lu,L,"surname Lu; Lu, an ancient state of China 魯國|鲁国[Lu3 guo2]; short name for Shandong 山東|山东[Shan1 dong1]",Actions,Top 1200,General 3500,1136.0,232665.0,122.56346347359096,90.72017398770333,3453.0,6764.0,True,True,True,"3500, 7000, corpus"
录,lù,lu,L,to carve wood,Actions,Top 2500,General 3500,1397.0,164397.0,86.60118928359628,93.40892949147008,1022.0,1702.0,True,True,True,"3500, 7000, corpus"
卢,lú,lu,L,surname Lu; abbr. for Luxembourg 盧森堡|卢森堡[Lu2 sen1 bao3],General Reference,Top 2500,General 3500,1800.0,96170.0,50.66051310792445,96.08965754009398,401.0,575.0,True,True,True,"3500, 7000, corpus"
鹿,lù,lu,L,deer,General Reference,Top 2500,General 3500,2226.0,56206.0,29.608243732390573,97.74377565508297,3482.0,6923.0,True,True,True,"3500, 7000, corpus"
炉,lú,lu,L,stove; furnace,General Reference,Top 2500,General 3500,2274.0,51848.0,27.31253284412672,97.88008957339233,1901.0,3279.0,True,True,True,"3500, 7000, corpus"
碌,lù,lu,L,used in 碌碡[liu4 zhou5]; Taiwan pr. [lu4],General Reference,Top 2500,General 3500,2331.0,48886.0,25.752208004512784,98.03077512650059,2200.0,3974.0,True,True,True,"3500, 7000, corpus"
芦,lú,lu,L,rush; reed; Phragmites communis,General Reference,Top 3500+,General 3500,2616.0,33912.0,17.864191749151853,98.64463641813153,2630.0,4823.0,True,True,True,"3500, 7000, corpus"
虏,lǔ,lu,L,prisoner of war; to capture; to take prisoner; (old) northern barbarian; slave,People & Pronouns,Top 3500+,General 3500,2687.0,30976.0,16.317563211303604,98.7659376093632,2751.0,5149.0,True,True,True,"3500, 7000, corpus"
颅,lú,lu,L,forehead; skull,General Reference,Top 3500+,General 3500,2953.0,21616.0,11.386894575656596,99.13025054444665,3379.0,6557.0,True,True,True,"3500, 7000, corpus"
庐,lú,lu,L,"surname Lu; Luzhou or Lu Prefecture 廬州|庐州[Lu2 Zhou1], a prefecture between the 6th and 13th centuries in present-day Anhui; Mount Lu 廬山|庐山[Lu2 Shan1] in Jiangxi Province",Time,Top 3500+,General 3500,3148.0,17027.0,8.969497314012992,99.32799632703137,980.0,1631.0,True,True,True,"3500, 7000, corpus"
赂,lù,lu,L,bribe; bribery,General Reference,Top 3500+,General 7000,3912.0,6380.0,3.3608617409645207,99.75615330852145,2991.0,5646.0,True,True,True,"3500, 7000, corpus"
卤,lǔ,lu,L,to stew in soy sauce and spices,Actions,Top 3500+,General 7000,3961.0,5943.0,3.130658515133565,99.77208800742031,402.0,577.0,True,True,True,"3500, 7000, corpus"
乱,luàn,luan,L,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,Actions,Top 600,HSK3 Expansion,504.0,692152.0,364.61240998935347,77.29775885412438,60.0,66.0,True,True,True,"3500, 7000, corpus"
卵,luǎn,luan,L,egg; ovum; spawn; (coll.) testicles; (old) penis; (expletive) fucking,General Reference,Top 3500+,General 3500,3097.0,18272.0,9.625339456254503,99.28076194381016,410.0,587.0,True,True,True,"3500, 7000, corpus"
峦,luán,luan,L,mountain ranges,General Reference,Top 3500+,General 7000,3917.0,6336.0,3.337683384130283,99.75782657517254,914.0,1507.0,True,True,True,"3500, 7000, corpus"
论,lùn,lun,L,"abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius)",General Reference,Top 600,HSK3 Expansion,469.0,744148.0,392.00290639737716,75.97387722274775,2890.0,5469.0,True,True,True,"3500, 7000, corpus"
伦,lún,lun,L,human relationship; order; coherence,General Reference,Top 2500,General 3500,1249.0,199623.0,105.15757105275243,92.00126436882954,131.0,165.0,True,True,True,"3500, 7000, corpus"
轮,lún,lun,L,"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn",Actions,Top 2500,General 3500,1254.0,197302.0,103.93491272974639,92.05354873654605,3066.0,5811.0,True,True,True,"3500, 7000, corpus"
仑,lún,lun,L,to arrange,Actions,Top 2500,General 3500,2472.0,40840.0,21.51372938887007,98.36265084672192,98.0,118.0,True,True,True,"3500, 7000, corpus"
沦,lún,lun,L,"to sink (into ruin, oblivion); to be reduced to",Actions,Top 3500+,General 3500,2848.0,25113.0,13.22904716314138,99.00150072485596,1729.0,2920.0,True,True,True,"3500, 7000, corpus"
抡,lūn,lun,L,"to swing (one's arms, a heavy object); to wave (a sword, one's fists); to fling (money)",Business & Work,Top 3500+,General 3500,3371.0,12347.0,6.504162996189488,99.49939706245739,1213.0,2032.0,True,True,True,"3500, 7000, corpus"
落,luò,luo,L,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind,Actions,Top 600,HSK3 Expansion,342.0,1054311.0,555.3908311877814,70.03282250236634,2705.0,5020.0,True,True,True,"3500, 7000, corpus"
罗,luó,luo,L,surname Luo,General Reference,Top 600,HSK3 Expansion,453.0,783224.0,412.58739438952915,75.33074377355844,2459.0,4486.0,True,True,True,"3500, 7000, corpus"
洛,luò,luo,L,"surname Luo; old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui)",General Reference,Top 1200,General 3500,1078.0,247888.0,130.58264815740017,89.98651851945961,1765.0,2985.0,True,True,True,"3500, 7000, corpus"
络,luò,luo,L,small net,General Reference,Top 2500,General 3500,1680.0,111535.0,58.75450067060781,95.43477645681172,2417.0,4393.0,True,True,True,"3500, 7000, corpus"
裸,luǒ,luo,L,naked,General Reference,Top 2500,General 3500,2094.0,66535.0,35.04936299922796,97.31680493135988,2848.0,5377.0,True,True,True,"3500, 7000, corpus"
逻,luó,luo,L,patrol,General Reference,Top 2500,General 3500,2455.0,41947.0,22.09687577558601,98.32558902289057,3140.0,5936.0,True,True,True,"3500, 7000, corpus"
骆,luò,luo,L,surname Luo,General Reference,Top 2500,General 3500,2492.0,39888.0,21.012234031911095,98.40512813559334,3433.0,6682.0,True,True,True,"3500, 7000, corpus"
萝,luó,luo,L,radish,General Reference,Top 3500+,General 3500,2631.0,33284.0,17.53337338342682,98.67112395950663,2700.0,5010.0,True,True,True,"3500, 7000, corpus"
螺,luó,luo,L,spiral shell; snail; conch,General Reference,Top 3500+,General 3500,3052.0,19077.0,10.04939803015363,99.23640099202123,2807.0,5286.0,True,True,True,"3500, 7000, corpus"
锣,luó,luo,L,gong; CL:面[mian4],Places & Movement,Top 3500+,General 3500,3333.0,12995.0,6.845516978657359,99.47406306575948,3244.0,6258.0,True,True,True,"3500, 7000, corpus"
啰,luō,luo,L,used in 囉唆|啰唆[luo1 suo5] and 囉嗦|啰嗦[luo1 suo5],General Reference,Top 3500+,General 3500,3447.0,11175.0,5.886775855059329,99.54651465836704,574.0,843.0,True,True,True,"3500, 7000, corpus"
骡,luó,luo,L,"mule; CL:匹[pi3],頭|头[tou2]",General Reference,Top 3500+,General 7000,3781.0,7509.0,3.955597306097584,99.7082321611229,3440.0,6706.0,True,True,True,"3500, 7000, corpus"
箩,luó,luo,L,basket,General Reference,Top 3500+,General 7000,4348.0,3538.0,1.863750601807598,99.86760780698917,2335.0,4234.0,True,True,True,"3500, 7000, corpus"
虑,lǜ,lv,L,to think over; to consider; anxiety,Actions,Top 1200,General 3500,1049.0,257747.0,135.77618043078093,89.60131940899856,2753.0,5151.0,True,True,True,"3500, 7000, corpus"
绿,lǜ,lv,L,used in names,General Reference,Top 1200,General 3500,1087.0,245485.0,129.3167938057485,90.10339274989207,2435.0,4426.0,True,True,True,"3500, 7000, corpus"
律,lǜ,lv,L,surname Lü,General Reference,Top 1200,General 3500,1160.0,223633.0,117.80557895252643,91.00846970872685,1040.0,1731.0,True,True,True,"3500, 7000, corpus"
率,lǜ,lv,L,(bound form) ratio; rate; proportion,General Reference,Top 1200,General 3500,1184.0,217561.0,114.60696570940159,91.28657211519548,2007.0,3513.0,True,True,True,"3500, 7000, corpus"
旅,lǚ,lv,L,trip; travel; to travel; brigade (army),Actions,Top 2500,General 3500,1331.0,179263.0,94.4323132085459,92.81353729402345,1419.0,2336.0,True,True,True,"3500, 7000, corpus"
吕,lǚ,lv,L,surname Lü,General Reference,Top 2500,General 3500,1595.0,124280.0,65.46832243997973,94.90739493148132,479.0,670.0,True,True,True,"3500, 7000, corpus"
缕,lǚ,lv,L,"strand; thread; detailed; in detail; classifier for wisps (of smoke, mist or vapor), strands, locks (of hair)",Actions,Top 2500,General 3500,2423.0,43622.0,22.979233677798483,98.25344833633307,2442.0,4444.0,True,True,True,"3500, 7000, corpus"
侣,lǚ,lv,L,companion,General Reference,Top 3500+,General 3500,2615.0,33933.0,17.87525414673183,98.6428499989566,163.0,224.0,True,True,True,"3500, 7000, corpus"
驴,lǘ,lv,L,donkey; CL:頭|头[tou2],Actions,Top 3500+,General 3500,2695.0,30458.0,16.044690737664165,98.77885891116131,3425.0,6665.0,True,True,True,"3500, 7000, corpus"
屡,lǚ,lv,L,time and again; repeatedly; frequently,Time,Top 3500+,General 3500,2706.0,30025.0,15.816594635181778,98.79640239873679,897.0,1462.0,True,True,True,"3500, 7000, corpus"
履,lǚ,lv,L,shoe; to tread on,Actions,Top 3500+,General 3500,2739.0,28690.0,15.113342217597507,98.84744530205438,898.0,1464.0,True,True,True,"3500, 7000, corpus"
滤,lǜ,lv,L,to strain; to filter,Actions,Top 3500+,General 7000,4030.0,5489.0,2.8915000150712,99.79285212767796,1861.0,3184.0,True,True,True,"3500, 7000, corpus"
铝,lǚ,lv,L,aluminum (chemistry),General Reference,Top 3500+,General 7000,4275.0,3934.0,2.0723558133157405,99.8532893770548,3223.0,6191.0,True,True,True,"3500, 7000, corpus"
氯,lǜ,lv,L,chlorine (chemistry),General Reference,Top 3500+,General 7000,5140.0,1087.0,0.5726107699731088,99.95395424506007,1702.0,2861.0,True,True,True,"3500, 7000, corpus"
略,lüè,lve,L,brief; sketchy; outline; summary; to omit; (bound form before a single-character verb) a bit; somewhat; slightly; plan; strategy; to capture (territory),Actions,Top 1200,General 3500,956.0,301716.0,158.9382070590676,88.23081582980197,2067.0,3673.0,True,True,True,"3500, 7000, corpus"
掠,lüè,lve,L,to take over by force; to rob; to plunder; to brush over; to skim; to sweep,Actions,Top 2500,General 3500,1916.0,81961.0,43.175484192976974,96.6278086255369,1311.0,2158.0,True,True,True,"3500, 7000, corpus"
吗,ma,ma,M,(coll.) what?,Question & Function,Top 300,HSK2 Expansion,173.0,2028487.0,1068.5680799912066,57.45197404955378,480.0,671.0,True,True,True,"3500, 7000, corpus"
马,mǎ,ma,M,surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4],General Reference,Top 300,HSK2 Expansion,203.0,1729443.0,911.0374313289817,60.4049704595529,3419.0,6658.0,True,True,True,"3500, 7000, corpus"
妈,mā,ma,M,ma; mom; mother,People & Pronouns,Top 600,HSK3 Expansion,371.0,956493.0,503.86218326024726,71.5568153203207,749.0,1209.0,True,True,True,"3500, 7000, corpus"
麻,má,ma,M,surname Ma,General Reference,Top 1200,General 3500,840.0,374419.0,197.23675426178602,86.17998823234815,3485.0,6934.0,True,True,True,"3500, 7000, corpus"
骂,mà,ma,M,"to scold; to abuse; to curse; CL:通[tong4],頓|顿[dun4]",Actions,Top 1200,General 3500,953.0,302419.0,159.30853398757827,88.18311650981387,3431.0,6679.0,True,True,True,"3500, 7000, corpus"
码,mǎ,ma,M,"(archaic) agate; (bound form) standard weight used with a balance scale; number; (computing) code; (clothing) size; yard (unit of length); (coll.) kilometers per hour (informal misuse of ""yard"" to mean kph in speed references); (coll.) to pile up; to stack; classifier for matters, items, situations etc (esp. when indicating whether they are the same or different, as in 不是一碼事|不是一码事[bu4 shi4 yi1 ma3 shi4] ""not the same thing""); (Tw, HK) (finance) unit of 25 basis points (i.e. a 0.25% change in interest rate)",Time,Top 2500,General 3500,1409.0,160836.0,84.72532272253443,93.51125693247526,2180.0,3923.0,True,True,True,"3500, 7000, corpus"
玛,mǎ,ma,M,used in 瑪瑙|玛瑙[ma3 nao3],General Reference,Top 2500,General 3500,1561.0,131821.0,69.44077673286586,94.67854252975101,2011.0,3522.0,True,True,True,"3500, 7000, corpus"
蚂,mǎ,ma,M,used in 螞螂|蚂螂[ma1 lang2],General Reference,Top 3500+,General 3500,2795.0,26697.0,14.063468009173953,98.92930667539966,2762.0,5169.0,True,True,True,"3500, 7000, corpus"
蟆,má,ma,M,toad,General Reference,Top 3500+,General 7000,3599.0,9205.0,4.849017605890033,99.6276806283292,2809.0,5289.0,True,True,True,"3500, 7000, corpus"
买,mǎi,mai,M,to buy; to purchase,Business & Work,Top 1200,General 3500,685.0,477539.0,251.5583941878458,82.74209048318475,59.0,65.0,True,True,True,"3500, 7000, corpus"
卖,mài,mai,M,to sell; to betray; to spare no effort; to show off or flaunt,Business & Work,Top 1200,General 3500,949.0,303880.0,160.07816079064241,88.11923242806351,395.0,567.0,True,True,True,"3500, 7000, corpus"
埋,mái,mai,M,to bury,Actions,Top 2500,General 3500,1516.0,139624.0,73.5512476050831,94.35649580245753,667.0,1070.0,True,True,True,"3500, 7000, corpus"
脉,mài,mai,M,"arteries and veins; vein (on a leaf, insect wing etc)",General Reference,Top 2500,General 3500,1544.0,134301.0,70.74719320897744,94.5594778919196,2553.0,4672.0,True,True,True,"3500, 7000, corpus"
麦,mài,mai,M,surname Mai,General Reference,Top 2500,General 3500,1610.0,121753.0,64.13714726452247,95.00453447676811,3483.0,6932.0,True,True,True,"3500, 7000, corpus"
迈,mài,mai,M,to take a step; to stride,Actions,Top 2500,General 3500,1896.0,83798.0,44.143180590806416,96.54061686225678,3102.0,5874.0,True,True,True,"3500, 7000, corpus"
满,mǎn,man,M,Manchu ethnic group,General Reference,Top 300,HSK2 Expansion,285.0,1238021.0,652.1657387790967,66.63004786551929,1860.0,3182.0,True,True,True,"3500, 7000, corpus"
慢,màn,man,M,slow,General Reference,Top 600,HSK3 Expansion,438.0,820995.0,432.48443338921106,74.69724130038034,1145.0,1923.0,True,True,True,"3500, 7000, corpus"
漫,màn,man,M,free; unrestrained; to inundate,Actions,Top 2500,General 3500,1201.0,213126.0,112.27069269667781,91.47857635540194,1873.0,3204.0,True,True,True,"3500, 7000, corpus"
曼,màn,man,M,handsome; large; long,General Reference,Top 2500,General 3500,1471.0,148287.0,78.11474999724231,94.01566122589507,1482.0,2446.0,True,True,True,"3500, 7000, corpus"
蛮,mán,man,M,barbarian; bullying; very; quite; rough; reckless,General Reference,Top 2500,General 3500,1723.0,105867.0,55.76870688568823,95.68041552008877,2781.0,5211.0,True,True,True,"3500, 7000, corpus"
瞒,mán,man,M,to conceal from; to keep (sb) in the dark,Actions,Top 2500,General 3500,2044.0,70085.0,36.91943497108126,97.13696648387484,2162.0,3886.0,True,True,True,"3500, 7000, corpus"
蔓,màn,man,M,used in 蔓菁[man2 jing5],General Reference,Top 3500+,General 3500,2617.0,33854.0,17.83363846059763,98.64641978197758,2727.0,5084.0,True,True,True,"3500, 7000, corpus"
馒,mán,man,M,used in 饅頭|馒头[man2 tou5],General Reference,Top 3500+,General 3500,3249.0,14818.0,7.805838444766814,99.41296249395259,3416.0,6648.0,True,True,True,"3500, 7000, corpus"
幔,màn,man,M,curtain,General Reference,Top 3500+,General 7000,4135.0,4776.0,2.515905278189115,99.8212238587514,963.0,1607.0,True,True,True,"3500, 7000, corpus"
忙,máng,mang,M,busy; hurriedly; to hurry; to rush,Actions,Top 600,HSK3 Expansion,401.0,899024.0,473.5886153305466,73.01978979695681,1058.0,1761.0,True,True,True,"3500, 7000, corpus"
芒,máng,mang,M,awn (of cereals); arista (of grain); tip (of a blade); Miscanthus sinensis (type of grass),General Reference,Top 2500,General 3500,1281.0,189889.0,100.0298863840144,92.32855593684991,2625.0,4815.0,True,True,True,"3500, 7000, corpus"
茫,máng,mang,M,"vast, with no clear boundary; fig. hazy; indistinct; unclear; confused",General Reference,Top 2500,General 3500,1583.0,126870.0,66.83268480817692,94.82813517065647,2659.0,4899.0,True,True,True,"3500, 7000, corpus"
氓,máng,mang,M,used in 流氓[liu2 mang2],General Reference,Top 2500,General 3500,2453.0,42109.0,22.18221427120298,98.32116764596827,1695.0,2843.0,True,True,True,"3500, 7000, corpus"
莽,mǎng,mang,M,(bound form) dense growth of grass; (literary) vast; boundless; (bound form) boorish; reckless,General Reference,Top 3500+,General 3500,2632.0,33238.0,17.5091414649183,98.67287487365313,2687.0,4973.0,True,True,True,"3500, 7000, corpus"
盲,máng,mang,M,blind,General Reference,Top 3500+,General 3500,2709.0,29895.0,15.748113126353346,98.80112962461314,2136.0,3828.0,True,True,True,"3500, 7000, corpus"
毛,máo,mao,M,surname Mao,General Reference,Top 1200,General 3500,694.0,469562.0,247.3562634499659,82.96672747930005,1689.0,2827.0,True,True,True,"3500, 7000, corpus"
冒,mào,mao,M,surname Mao,General Reference,Top 1200,General 3500,1048.0,258486.0,136.1654714694287,89.58774179095549,258.0,381.0,True,True,True,"3500, 7000, corpus"
貌,mào,mao,M,(bound form) appearance; looks; outward form,General Reference,Top 2500,General 3500,1393.0,164902.0,86.86721360635288,93.3742373912346,2960.0,5608.0,True,True,True,"3500, 7000, corpus"
猫,māo,mao,M,cat (CL:隻|只[zhi1]); (dialect) to hide oneself; (loanword) (coll.) modem,Actions,Top 2500,General 3500,1534.0,137136.0,72.24061688227438,94.4878529238017,2000.0,3492.0,True,True,True,"3500, 7000, corpus"
矛,máo,mao,M,spear; lance; pike; CL:支[zhi1],General Reference,Top 2500,General 3500,1806.0,95725.0,50.42609563539635,96.11998826374452,2170.0,3904.0,True,True,True,"3500, 7000, corpus"
帽,mào,mao,M,hat; cap,General Reference,Top 2500,General 3500,2100.0,66271.0,34.91029285822253,97.33777254705491,960.0,1602.0,True,True,True,"3500, 7000, corpus"
贸,mào,mao,M,commerce; trade,General Reference,Top 2500,General 3500,2340.0,48254.0,25.419282515439182,98.0538354317492,2984.0,5637.0,True,True,True,"3500, 7000, corpus"
茂,mào,mao,M,luxuriant; (chemistry) cyclopentadiene,General Reference,Top 3500+,General 3500,2509.0,38926.0,20.50547086658071,98.44042023920231,2652.0,4878.0,True,True,True,"3500, 7000, corpus"
茅,máo,mao,M,surname Mao,General Reference,Top 3500+,General 3500,2533.0,37567.0,19.78957570890504,98.48875817559927,2655.0,4881.0,True,True,True,"3500, 7000, corpus"
锚,máo,mao,M,anchor,General Reference,Top 3500+,General 7000,4278.0,3900.0,2.0544452648529203,99.85390729097676,3242.0,6250.0,True,True,True,"3500, 7000, corpus"
铆,mǎo,mao,M,to fasten with a rivet; to rivet; to hammer in a rivet; (coll.) to concentrate one's strength,Actions,Top 3500+,General 7000,5232.0,951.0,0.5009685761218274,99.9588960287714,3219.0,6173.0,True,True,True,"3500, 7000, corpus"
么,me,me,M,exclamatory final particle,Question & Function,Top 100,Zero Beginner,24.0,9727134.0,5124.067791510217,25.401382291880765,39.0,43.0,True,True,True,"3500, 7000, corpus"
没,méi,mei,M,(negative prefix for verbs) have not; not,Question & Function,Top 100,Zero Beginner,35.0,7560391.0,3982.669100099137,30.200037279226276,1727.0,2916.0,True,True,True,"3500, 7000, corpus"
美,měi,mei,M,(bound form) the Americas (abbr. for 美洲[Mei3 zhou1]); (bound form) USA (abbr. for 美國|美国[Mei3 guo2]),General Reference,Top 300,HSK2 Expansion,207.0,1692264.0,891.4522465848878,60.76548467266354,2467.0,4505.0,True,True,True,"3500, 7000, corpus"
每,měi,mei,M,each; every,General Reference,Top 600,HSK3 Expansion,351.0,1015025.0,534.6957192198296,70.52109629245005,1684.0,2818.0,True,True,True,"3500, 7000, corpus"
妹,mèi,mei,M,younger sister,General Reference,Top 1200,General 3500,612.0,542424.0,285.73856880578984,80.7923994332976,756.0,1228.0,True,True,True,"3500, 7000, corpus"
眉,méi,mei,M,eyebrow; upper margin,General Reference,Top 1200,General 3500,853.0,363007.0,191.2251313483241,86.43224519060412,2143.0,3838.0,True,True,True,"3500, 7000, corpus"
梅,méi,mei,M,surname Mei,General Reference,Top 1200,General 3500,902.0,333631.0,175.75041747644732,87.33009782436028,1589.0,2624.0,True,True,True,"3500, 7000, corpus"
媚,mèi,mei,M,(bound form) to flatter; (bound form) charming,Actions,Top 2500,General 3500,1691.0,110163.0,58.0317573620493,95.49895690546106,787.0,1294.0,True,True,True,"3500, 7000, corpus"
玫,méi,mei,M,(fine jade); used in 玫瑰[mei2 gui1],General Reference,Top 2500,General 3500,1945.0,79367.0,41.80901470143122,96.75108471812698,2013.0,3529.0,True,True,True,"3500, 7000, corpus"
枚,méi,mei,M,surname Mei,General Reference,Top 2500,General 3500,2084.0,67198.0,35.39861869425296,97.28156587458119,1533.0,2517.0,True,True,True,"3500, 7000, corpus"
媒,méi,mei,M,"medium; intermediary; matchmaker; go-between; abbr. for 媒體|媒体[mei2 ti3], media, esp. news media",Places & Movement,Top 2500,General 3500,2110.0,65752.0,34.63689360374595,97.37252975740186,786.0,1293.0,True,True,True,"3500, 7000, corpus"
霉,méi,mei,M,mold; mildew; to become moldy,Places & Movement,Top 2500,General 3500,2233.0,55470.0,29.220533036254224,97.76434275930751,3340.0,6477.0,True,True,True,"3500, 7000, corpus"
昧,mèi,mei,M,to conceal; dark,Actions,Top 2500,General 3500,2462.0,41576.0,21.901440085006413,98.34096844210899,1447.0,2380.0,True,True,True,"3500, 7000, corpus"
煤,méi,mei,M,coal; CL:塊|块[kuai4],General Reference,Top 3500+,General 3500,2606.0,34203.0,18.01748497276011,98.62672839821673,1936.0,3350.0,True,True,True,"3500, 7000, corpus"
楣,méi,mei,M,lintel; crossbeam,General Reference,Top 3500+,General 7000,4229.0,4189.0,2.206684926786893,99.84346607335992,1623.0,2685.0,True,True,True,"3500, 7000, corpus"
们,men,men,M,"plural marker for pronouns, and nouns referring to individuals",People & Pronouns,Top 100,Zero Beginner,21.0,10741873.0,5658.612851410624,23.80616491192282,109.0,135.0,True,True,True,"3500, 7000, corpus"
门,mén,men,M,surname Men,General Reference,Top 300,HSK2 Expansion,161.0,2233462.0,1176.5449820843417,56.12516662472959,3264.0,6336.0,True,True,True,"3500, 7000, corpus"
闷,mèn,men,M,stuffy; shut indoors; to smother; to cover tightly,People & Pronouns,Top 2500,General 3500,1236.0,203501.0,107.20042713918824,91.86287108852177,3272.0,6349.0,True,True,True,"3500, 7000, corpus"
梦,mèng,meng,M,dream (CL:場|场[chang2]); (bound form) to dream,Actions,Top 600,HSK3 Expansion,529.0,650909.0,342.8863879231152,78.17655203041193,1593.0,2630.0,True,True,True,"3500, 7000, corpus"
猛,měng,meng,M,ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome,General Reference,Top 1200,General 3500,779.0,403183.0,212.38907826133203,84.93326945799612,1996.0,3483.0,True,True,True,"3500, 7000, corpus"
蒙,méng,meng,M,(literary) sincere; honest; genuine,Numbers & Measures,Top 1200,General 3500,976.0,290989.0,153.2874290190478,88.54339230191762,2716.0,5049.0,True,True,True,"3500, 7000, corpus"
孟,mèng,meng,M,surname Meng,General Reference,Top 2500,General 3500,1401.0,162475.0,85.58871651460979,93.4433073669362,803.0,1338.0,True,True,True,"3500, 7000, corpus"
盟,méng,meng,M,"oath; pledge; union; to ally; league, a subdivision corresponding to prefecture in Inner Mongolia",Places & Movement,Top 2500,General 3500,1422.0,158636.0,83.56640488082253,93.62071187624129,2133.0,3822.0,True,True,True,"3500, 7000, corpus"
朦,méng,meng,M,used in 朦朧|朦胧[meng2 long2],General Reference,Top 2500,General 3500,2443.0,42683.0,22.48458647172236,98.29882760815826,1494.0,2463.0,True,True,True,"3500, 7000, corpus"
萌,méng,meng,M,"(bound form) to sprout; to bud; (coll.) cute; adorable (orthographic borrowing from Japanese 萌え ""moe"", affection for an anime or manga character)",Actions,Top 3500+,General 3500,2600.0,34408.0,18.125475044374173,98.61588756465686,2697.0,5003.0,True,True,True,"3500, 7000, corpus"
檬,méng,meng,M,used in 檸檬|柠檬[ning2 meng2],General Reference,Top 3500+,General 7000,3650.0,8818.0,4.6451534219161665,99.65187061508306,1650.0,2762.0,True,True,True,"3500, 7000, corpus"
锰,měng,meng,M,manganese (chemistry),General Reference,Top 3500+,General 7000,5607.0,563.0,0.296577611310819,99.97342748887631,3252.0,6271.0,True,True,True,"3500, 7000, corpus"
密,mì,mi,M,surname Mi; name of an ancient state,General Reference,Top 1200,General 3500,645.0,506110.0,266.60904948582345,81.70243850958406,846.0,1396.0,True,True,True,"3500, 7000, corpus"
米,mǐ,mi,M,surname Mi,General Reference,Top 1200,General 3500,649.0,503964.0,265.4785778093172,81.80885218954297,2350.0,4277.0,True,True,True,"3500, 7000, corpus"
迷,mí,mi,M,to bewilder; crazy about; fan; enthusiast; lost; confused,Actions,Top 1200,General 3500,758.0,424854.0,223.80494578303143,84.47534014054277,3116.0,5899.0,True,True,True,"3500, 7000, corpus"
